BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
31/9,1.,1724-04-09,"chorale setting ""Wenn mein Stündlein vorhanden ist"" (s. 5)",C maj.,SATB,7: 50,III/2.1: 56,after Z 4482a; text by Herman,11221
31.1,1.,1715-04-21,Cantata Der Himmel lacht! Die Erde jubilieret (Weimar version: Easter),C maj.,stbSSATB 3Tr Tmp 3Ob Tai Bas 2Vl 2Va Bc,,I/9 rev 2: 37,"after Z 4482a (/9); text by Franck, S, Herman (/9); → BWV 31.2",00041
32,1.,1726-01-13,"Cantata Liebster Jesu, mein Verlangen (Epiphany I)",E min.,sbSATB Ob Str Bc,7: 53,I/5: 143,"after Z 6543 (/6); text by Lehms, Gerhardt (/6)",00042
32/6,1.,1726-01-13,"chorale setting ""Weg, mein Herz, mit den Gedenken"" (s. 12)",G maj.,SATB,7: 80,III/2.2: 18,after Z 6543; text by Gerhardt,11317
32/6,1.,1726-01-13,"chorale setting ""Freu dich sehr, o meine Seele""",G maj.,SATB,7: 80,III/2.2: 18,after Z 6543,11317
33,1.,1724-09-03,"Cantata Allein zu dir, Herr Jesu Christ (Trinity XIII)",A min.,atbSATB 2Ob Str Bc,7: 81,I/21: 23,after Z 7292b; text after Hubert,00043
33/6,1.,1724-09-03,"chorale setting ""Allein zu dir, Herr Jesu Christ"" (s. 4)",A min.,SATB,7: 114,III/2.1: 58 III/2.2: 10,after Z 7292b; text by Hubert,11223
34.1,1.,1727-06-01,"Cantata O ewiges Feuer, o Ursprung der Liebe (Pentecost)",D maj.,atbSATB 3Tr Tmp 2Fl 2Ob Str Bc,7: 115,I/13: 129,text after Ps 128:6 (/5); → BWV 34.2,00044
34.2,1.,after 1727,"Cantata O ewiges Feuer, o Ursprung der Liebe (wedding; incomplete)",D maj.,satbSATB Vl Va Bc,41: 117,I/33: 27,"after BWV 34.1; text after Ps 128:4–6 (/3–/4), Nm 6:24–26 (/7)",00045
35,1.,1726-09-08,Cantata Geist und Seele wird verwirret (Trinity XII),D min.,a 2Ob Tai Str Org Bc,7: 171,I/20: 215,text by Lehms; → BWV 1059,00046
36.4,1.,c. 1726–1730,Cantata Schwingt freudig euch empor (Advent I; early version),D maj.,stbSATB Oba Str Bc,7: 395,I/1: 17,"after BWV 36.1, Z 8359 (/5); text by Picander?, by Nicolai (/5); → BWV 36.5",00048
36.4/5,1.,c. 1726–1730,"chorale setting ""Wie schön leuchtet der Morgenstern"" (s. 7)",D maj.,SATB,7: 399,III/2.1: 28,after Z 8359; text by Nicolai,11193
36.5,1.,1731-12-02,Cantata Schwingt freudig euch empor (Advent I),D maj.,satbSATB 2Oba Str Bc,7: 221,I/1: 41,"after BWV 36.4, Z 1174 (/2, /6, /8), Z 8359 (/4); text by Picander?, by Luther (/2, /6, /8), Nicolai (/4)",00047
36.5/4,1.,1731-12-02,"chorale setting ""Wie schön leuchtet der Morgenstern"" (s. 6)",D maj.,SATB,7: 243,"III/2.2: 48, 109, 180",after Z 8359; text by Nicolai,11346
36.5/8,1.,1731-12-02,"chorale setting ""Nun komm, der Heiden Heiland"" (s. 8)",B min.,SATB,7: 258,III/2.2: 18,after Z 1174; text by Luther,11329
36.2,1.,1726-11-30 or 1725-11-30,Secular cantata Steigt freudig in die Luft (birthday of Charlotte Friederike Wilhelmine of Anhalt-Köthen; music lost),,stbSATB Oba Va Str Bc (?),,I/35,"text by Picander; after BWV 36.1/1, /3, /5, /7, /9",00049
36.3,1.,1735-07-27,"Secular cantata Die Freude reget sich (birthday of Rivinius, J. F. ?)",D maj.,satSATB Fl Oba Str Bc,34: 39,I/38: 255,"after BWV 36.1/1, /3, /5, /7, /8",00050
