BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
1019.3,10.,after 1729?,Sonata for violin and harpsichord No. 6,G maj.,Vl Hc,9: 154,VI/1: 172 rev 3: 172,after BWV 1019.2,01200
1019.1,10.,1725,"Sonata for violin and harpsichord No. 6, early version 1 (partially lost)",G maj.,Vl Hc,9: 252,VI/1: 197 rev 3: 196,"→ BWV 830/3, /6, 1019.2",01199
1019.2,10.,c. 1730–1731,"Sonata for violin and harpsichord No. 6, early version 2",G maj.,Vl Hc,9: 252,VI/1: 197 rev 3: 218,"after BWV 1019.1, 120.1/4; → BWV 1019.3",11577
1021,10.,1732–1733,Sonata for violin and continuo,G maj.,Vl Bc,,VI/1: 65 rev 3: 65,"→ BWV 1022, 1038",01202
1023,10.,c.1714–1717?,Sonata for violin and continuo,E min.,Vl Bc,431: 31,VI/1: 73 rev 3: 73,,01204
1025.1,10.,after 1739?,Suite for violin and keyboard,A maj.,Vl Kb,9: 43,VI/5: 67,after Weiss; → BWV 1025.2,11578
1025.2,10.,c. 1746–1747?,Suite for violin and keyboard (incomplete),A maj.,Vl Kb,9: 43,VI/5: 97,after BWV 1025.1,01206
1026,10.,c.1714–1717,Fugue for violin and continuo,G min.,Vl Bc,431: 39,VI/5: 59,,01207
1027,10.,c.1742,Sonata for gamba and harpsichord No. 1,G maj.,Gam Hc,9: 175,VI/4: 3,after BWV 1039; → 1027/1a /2a /4a,01208
1028,10.,,Sonata for gamba and harpsichord No. 2,D maj.,Gam Hc,9: 175,VI/4: 21,,01210
1029,10.,,Sonata for gamba and harpsichord No. 3,G min.,Gam Hc,9: 175,VI/4: 36,→ BWV 545b,01211
1030.2,10.,1736–1737,Sonata for flute and harpsichord,B min.,Fl Hc,9: 3,VI/3: 33,after BWV 1030.1,11579
1030.1,10.,1717–1736,Sonata for unknown instrument and harpsichord,G min.,v Hc,,VI/3: 89,→ BWV 1030.2,01212
1032,10.,1736–1737,Sonata for flute and harpsichord (/1 incomplete),A maj.,Fl Hc,"9: 32, 245",VI/3: 54,→ BWV 525a,01214
1034,10.,after 1723,Sonata for flute and continuo,E min.,Fl Bc,431: 9,VI/3: 11,,01216
1035,10.,1740s,Sonata for flute and continuo,E maj.,Fl Bc,431: 21,VI/3: 23,,01217
1039,10.,1708–1726,Sonata,G maj.,2Fl Bc,9: 260,VI/3: 71,→ BWV 1027,01221
11.,Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Works for orchestra (see also: List of orchestral works by Johann Sebastian Bach),Up ↑
1041,11.,1730,Concerto for violin and orchestra No. 1,A min.,Vl Str Bc,211: 3 451: 233,VII/3: 3,→ BWV 1058,01223
1042,11.,,Concerto for violin and orchestra No. 2,E maj.,Vl Str Bc,211: 21,VII/3: 35,→ BWV 1054,01224
1043,11.,1730–1731 or earlier,Concerto for 2 violins and orchestra – Double Concerto,D min.,2Vl Str Bc,211: 41,VII/3: 71,→ BWV 1062,01225
1044,11.,1727 or later,"Concerto for flute, violin, harpsichord and orchestra – Triple Concerto",A min.,Fl Vl Hc Str Bc,17: 223,VII/3: 105,"after BWV 894/1, 527/2, 894/2",01226
1045,11.,1743–1746,"Cantata opening: ""Concerto"" (Symphonic movement for violin and orchestra)",D maj.,Vl 3Tr Tmp 2Ob Str Bc,211: 65,I/34: 305,after unknown model by other composer?,01227
1046.2,11.,1721-03-24,Brandenburg Concerto No. 1,F maj.,2Nho 3Ob Bas Vlp Str Bc,19: 3,VII/2: 3,"after BWV 1046.1; /3, /7 → BWV 207(a)/1, /5a",01228
1046.1,11.,c.1712- 1713?,Sinfonia (opening of BWV 208?),F maj.,2Nho 3Ob Str Bas Bc,311: 69,VII/2: 225,"→ BWV 1046.2; /1 → BWV 52/1; was BWV 1046a, 1071",01229
1047,11.,1721-03-24,Brandenburg Concerto No. 2,F maj.,Tr Fl Ob Vl Str Vne Bc,19: 3,VII/2: 43,,01230
1048,11.,1721-03-24,Brandenburg Concerto No. 3,G maj.,3Vl 3Vla 3Vc Vne Hc,19: 3,VII/2: 73,→ BWV 174/1,01231
1049,11.,1721-03-24,Brandenburg Concerto No. 4,G maj.,Vl 2Fl Str Vc Vne Bc,19: 3,VII/2: 99,→ BWV 1057,01232
1050.2,11.,1721-03-24,Brandenburg Concerto No. 5 (early version),D maj.,Fl Vl Hc Vl Va Vc Vne,19: 3,VII/2: 145,after BWV 1050.1,01233
1050.1,11.,1720–1721,Brandenburg Concerto No. 5 (revised version),D maj.,Fl Vl Hc Vl Va Vne,19: 3,VII/2: 145,→ BWV 1050.2,01234
1051,11.,1721-03-24,Brandenburg Concerto No. 6,B♭ maj.,2Vla 2Gam Vc Vne Hc,19: 3,VII/2: 197,,01235
1052.2,11.,c.1738,Concerto for harpsichord and orchestra No. 1 (revised version),D min.,Hc Str Bc,17: 3,VII/4: 3,"after BWV 1052.1, BWV 146/1, /2 and 188/1",01236
1052.1,11.,before 1726,Concerto for harpsichord and orchestra No. 1 (early version),D min.,Hc Str Bc,17: 3,VII/4: 317,"by Bach, C. P. E.?; → BWV 1052.2, BWV 146/1, /2 and 188/1",01237
1053,11.,c.1738,Concerto for harpsichord and orchestra No. 2,E maj.,Hc Str Bc,17: 3,VII/4: 79,"after BWV 169/1, /5 and 49/1",01238
1054,11.,c.1738,Concerto for harpsichord and orchestra No. 3,D maj.,Hc Str Bc,17: 3,VII/4: 127,after BWV 1042,01239
1055,11.,c.1738,Concerto for harpsichord and orchestra No. 4,A maj.,Hc Str Bc,17: 3,VII/4: 161,after BWV 1055R?,01240
1056,11.,c.1738,Concerto for harpsichord and orchestra No. 5,F min.,Hc Str Bc,17: 3,VII/4: 197,after BWV 1056R?; /2 after BWV 156/1,01241
1057,11.,c.1738,Concerto for harpsichord and orchestra No. 6,F maj.,Hc 2Fl Str Bc,17: 3,VII/4: 221,after BWV 1049,01242
1058,11.,c.1738,Concerto for harpsichord and orchestra No. 7,G min.,Hc Str Bc,17: 3,VII/4: 283,after BWV 1041,01243
1059,11.,c.1738,Concerto for harpsichord and orchestra No. 8 (abandoned fragment of 1st movement),D min.,Hc Ob Str Bc,17: 3,VII/4: 313,"after BWV 35/1 and earlier model (for oboe?); completions/ reconstructions usually based on BWV 35/1, /2 and /5",01244
1060,11.,c.1736,Concerto for 2 harpsichords and orchestra No. 1,C min.,2Hc Str Bc,212: 3,VII/5: 3,after BWV 1060R?,01245
1061.2,11.,after 1732–1733,Concerto for 2 harpsichords and orchestra No. 2,C maj.,2Hc Str Bc,212: 39,VII/5: 109,after BWV 1061.1,01246
1061.1,11.,1732–1733 or earlier,Concerto for 2 harpsichords (No. 2),C maj.,2Hc,212: 39,VII/5: 83,→ BWV 1061.2,01247
1062,11.,1736,Concerto for 2 harpsichords and orchestra No. 3,C min.,2Hc Str Bc,212: 83,VII/5: 43,after BWV 1043,01248
1063,11.,c.1730,Concerto for 3 harpsichords and orchestra No. 1,D min.,3Hc Str Bc,313: 3,VII/6: 3,after unknown model?,01249
1064,11.,c.1730,Concerto for 3 harpsichords and orchestra No. 2,C maj.,3Hc Str Bc,313: 53,VII/6: 55,after BWV 1064R?,01250
1065,11.,c.1730,Concerto for 4 harpsichords and orchestra,A min.,4Hc Str Bc,431: 71,VII/6: 117,"after Vivaldi, Op. 3 No. 10",01251
1066,11.,May 1724–End 1725,Orchestral Suite No. 1,C maj.,2Ob Bas Str Bc,311: 3,VII/1: 3,Ouverture Courante 2Gavotte Forlane 2Minuet 2Bourrée 2Passepied,01252
1067,11.,1738–1739,Orchestral Suite No. 2,B min.,Fl Str Bc,311: 24,VII/1: 27,Ouverture Rondeau Sarabande 2Bourrée 2Polonaise Minuet Badinerie,01253
1068,11.,c.1730,Orchestral Suite No. 3,D maj.,3Tr Tmp 2Ob (Vl) Str Bc,311: 40,"VII/1: 49, 119",Ouverture Air 2Gavotte Bourrée Gigue,01254
1069,11.,before late 1727,Orchestral Suite No. 4,D maj.,3Tr Tmp 2Ob Bas Str Bc,311: 66,VII/1: 79,Ouverture 2Bourrée Gavotte 2Minuet Réjouissance; /1 → BWV 110/1,01255
1071,,,,,,,,see BWV 1046.1,01229
12.,Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Canons (see also: List of canons by Johann Sebastian Bach),Up ↑
1072,12.,,Canon trias harmonica a 8,D maj.,8V,451: 131,"VIII/1: 3, 6",,01258
1073,12.,1713-08-02,Canon â 4. Voc: perpetuus,A min.,4V,451: 132,VIII/1: 3,in US-CAh bMS Eng 870 (35b),01259
1074,12.,1727,Canon a 4 (for Ludwig Friedrich Hudemann ),A min.,4V,451: 134,VIII/1: 3, ,01260
1075,12.,1734-01-10,Canon a 2. perpetuus,D maj.,2V,,VIII/1: 3,,01261
1076,12.,1746,Canon triplex a 6,G maj.,6V,451: 138,VIII/1: 3,after BWV 1087/13  ,01262
1077,12.,1747-10-15,Canone doppio sopr' il soggetto (dedicated to Johann Fulde ),G maj.,4V Bc,,VIII/1: 4 IX/2: 81,after BWV 1087/11,01263
1078,12.,1749-03-01,"Canon Fa Mi, et Mi Fa est Tota Musica, a.k.a. Canon super Fa Mi, a 7. post Tempus Musicum",F maj.,7V Bc,451: 136,VIII/1: 4,in SBB P 611,01264
1086,12.,1750?,Canon Concordia discors,D maj.,2V,,VIII/1: 4 III/1: VIII,in SLB Dresden R 291s,01272
1087,12.,1747/1748 or earlier,14 Canons on the first eight notes of the Goldberg ground,G maj.,6V,,V/2: 119,"after BWV 988/1; /11 → BWV 1077; /13 → 1076; in BN Paris Ms. 17669, Bl. 18v ",01273
13.,"Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)","Musical Offering, Art of the Fugue (see also: List of late contrapuntal works by Johann Sebastian Bach)",Up ↑
1079,13.,1747-07-07,Musical Offering,,Kb Fl 2Vl Bc,312,VIII/1: 46,,01265
1080.1,13.,1742–1749,The Art of Fugue (autograph),,Hc (?),251,VIII/2.1,→ BWV 1080.2,01266
1080.2,13.,c. 1747–1748,The Art of Fugue (print version),,Hc (?),47,VIII/2.2,after BWV 1080.1,11581
Later,Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Later additions to the main catalogue (above BWV 1128: BWV3),Up ↑
1127,,1713-10-30,"aria ""Alles mit Gott und nichts ohn' ihn""",C maj.,s Str Bc,,Sppl: 237,text by Mylius ,01307
1128,II,1707–1708,"chorale setting ""Wo Gott der Herr nicht bei uns hält""",G min.,Organ,,IV/10,after Z 4441a; was BWV Anh. 71,01725
1129,,c. 1742–1745,music theory Theoretische Aufzeichnungen zum fünfstimmigen Satz,,,,Sppl: 63,,11582
1130,,c. 1742–1743,music theory Theoretische Aufzeichnungen zum Kontrapunkt,,,,Sppl: 45,,11583
1131,,c. 1743–1746,music theory Regeln zum Gebrauch von Synkopen im doppelten Kontrapunkt,,,,Sppl: 41,,11584
1132,,c. 1736–1739,Counterpoint studies with W. F. Bach,,,,Sppl: 67,,11585
1133,,c. 1740–1745,thorough-bass rules I Einige höchst nöthige Regeln vom General Basse,,,,V/4: 131 Sppl: 37,,11586
1134,,1738?,thorough-bass rules II Precepts and Principles For Playing the Thorough-Bass or Accompanying in Four Parts,,,,Sppl: 3,,11587
1135,I,1724-03-25,"Cantata Siehe, eine Jungfrau ist schwanger (25 March: Annunciation)",,,,,was BWV Anh. 199; text extant,01510
1136,I,1708–1717? 1725-09-09? 1727-02-06,"Cantata Liebster Gott, vergißt du mich (1711: libretto for Trin. VII; 1725: Trin. XV?; 1727, with BWV 157.1: funeral in Pomßen)",,,,,was BWV Anh. 209; text by Lehms,01520
1137,I,1729-10-23?,"Cantata (sketch: Gott, du Richter der Gedanken for Trinity XIX by Picander?)",,SATB Vl Str Bc,,III/1,was BWV Anh. 2; in SBB P 36: 18,01309
1138.1,I,1709-02-04,Cantata for Ratswahl in Mühlhausen No. 2,,,,,was BWV Anh. 192,01503
1138.2,,1710-02-04,Cantata for Ratswahl in Mühlhausen No. 3,,,,,lost,11382
1139.1,I,1725-08-27,Cantata Wünschet Jerusalem Glück (council election),,,,,was BWV Anh. 4; text by Picander; → BWV 1139.2,01311
1139.2,I,1730-06-27,Cantata Wünschet Jerusalem Glück (200th anniversary of the Augsburg Confession),,,,,was BWV Anh. 4a; text by Picander; after BWV 1139.1,01312
1140,I,1730-08-25,"Cantata Gott, gib dein Gerichte dem Könige (council election)",,,,I/32.2,was BWV Anh. 3; text by Picander,01310
1141,I,1740-08-29,"Cantata Herrscher des Himmels, König der Ehren (council election)",,,,I/32.2,was BWV Anh. 193; text extant; /7 after BWV 208/15?,01504
1142,,1716-04-02,"Cantata Was ist, das wir Leben nennen (funeral service for Johann Ernst of S.-W.)",,,,,text extant,01531
1143,4.,1729-03-24,"Cantata Klagt, Kinder, klagt es aller Welt (funeral of Leopold of Anhalt-Köthen; music lost but partially reconstructible)",,,,I/34,"was BWV 244a; text by Picander; ↔ BWV 198/1, /10, 244b/6, /8, /39, /49, /57, /23, /20, /65, /13, /68",00305
1144,I,1725-02-12,Cantata Sein Segen fließt daher wie ein Strom (wedding),,,,,was BWV Anh. 14; text extant,01322
1145,I,1729-01-18,"Cantata Der Herr ist freundlich dem, der auf ihn harret (wedding)",,,,,was BWV Anh. 211; text by Picander,01522
1146,I,1729-07-26,"Cantata Vergnügende Flammen, verdoppelt die Macht (wedding)",,,,,was BWV Anh. 212; text by Picander,01523
1147,I,1718-12-10,"Cantata Lobet den Herrn, alle seine Heerscharen (birthday of Leopold of A.-K.)",,,,I/34,was BWV Anh. 5; text by Hunold,01313
1148,I,1724-04-27,"Cantata Siehe, der Hüter Israel (doctorate)",,SATB 3Tr Tmp 2Ob 3Vl Va Bc,,I/34,was BWV Anh. 15; lost,01323
1150,I,1721-01-01? 1722-01-01?,Cantata Ihr wallenden Wolken (New Year),,b 2Fl Str Vc Hc Bc,,I/4,was BWV Anh. 197; lost,01508
1151,I,1720-01-01,Secular cantata Dich loben die lieblichen Strahlen der Sonne (New Year),,,,I/35,was BWV Anh. 6; text by Hunold,01314
1152,I,1723-01-01,Secular cantata for New Year (congratulation of Leopold of Anhalt-Köthen and his wife Frederica Henriette),,,,I/35,was BWV Anh. 8; lost,01316
1153,I,1720-12-10,Secular cantata Heut ist gewiß ein guter Tag (birthday of Leopold of Anhalt-Köthen),,,,I/35,was BWV Anh. 7; text by Hunold,01315
1154,I,1722-07-29,Cantata O vergnügte Stunden (birthday of John Augustus of Anhalt-Zerbst),,,,,was BWV Anh. 194; text extant,01505
1155,I,1723-08-09,Ode in Latin (birthday of Frederick II of Saxe-Gotha),,,,I/38,was BWV Anh. 20; lost,01328
1156,I,1727-05-12,"Secular cantata Entfernet euch, ihr heitern Sterne (57th birthday of Augustus II)",,,,I/36,"was BWV Anh. 9; text by Haupt, C. F.; /1 → BWV 232II/6?",01317
1157,I,1732-08-03,"Secular cantata Es lebe der König, der Vater im Lande (name day of Augustus II)",,,,I/36,was BWV Anh. 11; text by Picander; /1 & /11 → BWV 215/1 → 232IV/1=/3; /7 → 248/39?; /9 → 212/14,01319
1158,I,1733-08-03,"Secular cantata Frohes Volk, vergnügte Sachsen (name day of Augustus III)",,,,I/36,was BWV Anh. 12; text by Picander; after BWV Anh. 18; /1 → BWV 11/1,01320
1159,,1739-10-07,"Secular cantata ""Serenade"" (birthday of Augustus III)",,,,,lost,01536
1160,I,1731-08-25,"Secular cantata So kämpfet nur, ihr muntern Töne (birthday of Joachim Friedrich von Flemming )",,,,I/39,was BWV Anh. 10; text by Picander; /1 → BWV 248VIa/1?,01318
1161,I,1738-04-28,"Secular cantata Willkommen! Ihr herrschenden Götter der Erden in honour of the royal couple (Augustus III and Maria Josepha), and for the forthcoming marriage of princess Maria Amalia with Charles of Sicily",,,,I/37,"was BWV Anh. 13; text by Gottsched, J. C. in Riemersche Chronik ",01321
1162,I,1732-06-05,"Secular cantata Froher Tag, verlangte Stunden (inauguration of St. Thomas school after renovation)",,,,I/39,was BWV Anh. 18; text by Winckler; /1 → BWV 11/1; /1 /3 /5 /6 /8 /10 → BWV Anh. 12,01326
1163,I,1725-11-27,"Secular cantata Auf, süß entzückende Gewalt (wedding of Peter, eldest son of Peter Hohmann, and Christiana Sibylla Mencke)",,,,I/40,"was BWV Anh. 196; text by Gottsched, C.; /3 → BWV 11/4 → 232IV/4; /5 → BWV 11/8",01507
1164,II,1712–1713 or earlier,"Motet Ich lasse dich nicht, du segnest mich denn",F min.,2SATB,39: 157,III/3: 3,"by Bach, J. Christoph?; was BWV Anh. 159; ↔ BWV 421 (/2)",01470
1177,,1726-12-11,March,D maj.,3Tr Tmp 2Fl 2Ob Str Bc,,,Introduction for BWV 207,011891
1178,,,Chaconne and Fugue,D min.,Organ,,,Composed during his pre–Weimar period; found as a copy in a pupil's hand along with BWV 1179,011965
1179,,,Chaconne,G min.,Organ,,,See BWV 1178,011966
R,Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Reconstructions (see also Reconstruction of music by Johann Sebastian Bach),Up ↑
1052R,R,1970,Concerto,D min.,Vl Str Bc,,VII/7: 3,by Fischer; after BWV 1052,01236
1055R,R,1970,Concerto,A maj.,Oba Str Bc,,VII/7: 33,by Fischer; after BWV 1055,01240
1056R,R,1970,Concerto,G min.,Vl Str Bc,,VII/7: 59,by Fischer; after BWV 1056,01241
1060R,R,1970,Concerto,C min.,Vl Ob Str Bc,,VII/7: 75,by Fischer; after BWV 1060,01245
1064R,R,1970,Concerto,D maj.,3Vl Str Bc,,VII/7: 103,by Fischer; after BWV 1064,01250
Anh. I,Fragments – lost works,Fragments – lost works,Fragments – lost works,Fragments – lost works,Fragments – lost works,Fragments – lost works,Fragments – lost works,Fragments – lost works,Up ↑
I 1,I,1725-07-15?,Cantata Gesegnet ist die Zuversicht (Trinity VII),,SATB 2Fl Str Bc,,,by Telemann (TWV 1:617)?; text by Neumeister?,01308
I 2,I,,,,,,,see BWV 1137,01309
I 3,I,,,,,,,see BWV 1140,01310
I 4,I,,,,,,,see BWV 1139.1,01311
I 4a,I,,,,,,,see BWV 1139.2,01312
I 5,I,,,,,,,see BWV 1147,01313
I 6,I,,,,,,,see BWV 1151,01314
I 7,I,,,,,,,see BWV 1153,01315
I 8,I,,,,,,,see BWV 1152,01316
I 9,I,,,,,,,see BWV 1156,01317
I 10,I,,,,,,,see BWV 1160,01318
I 11,I,,,,,,,see BWV 1157,01319
I 12,I,,,,,,,see BWV 1158,01320
I 13,I,,,,,,,see BWV 1161,01321
I 14,I,,,,,,,see BWV 1144,01322
I 15,I,,,,,,,see BWV 1148,01323
I 16,I,1735-11-09,Cantata Schließt die Gruft! ihr Trauerglocken (mourning of Hedwig of Merseburg),,,,,"by Roemhildt; text by Hoffmann, B.",01324
I 17,I,,"Cantata Mein Gott, nimm die gerechte Seele (funeral)",,SATB 2Oba Str Bas Bc,,I/33,,01325
I 18,I,,,,,,,see BWV 1162,01326
I 19,I,1734-11-21,Secular cantata Thomana saß annoch betrübt (welcome to Johann August Ernesti as new rector of St. Thomas school),,,,I/39,text by Landvoigt ?,01327
I 20,I,,,,,,,see BWV 1155,01328
N 190,I,1729-04-18,Cantata Ich bin ein Pilgrim auf der Welt (Easter 2),,b Bc ...,,I/33,"by Bach, C. P. E.?; text by Picander",01501
N 191,I,1715-05-19,Cantata Leb ich oder leb ich nicht (Cantate),,,,,"text by Franck, S.",01502
N 192,I,,,,,,,see BWV 1138.1,01503
N 193,I,,,,,,,see BWV 1141,01504
N 194,I,,,,,,,see BWV 1154,01505
N 195,I,1723-06-09,"Secular cantata Murmelt nur, ihr heitern Bäche (celebration of Johann Florenz Rivinus )",,,,,"text in Acta Lipsiensium 1723, Vol. 5, pp. 515–619",01506
N 196,I,,,,,,,see BWV 1163,01507
N 197,I,,,,,,,see BWV 1150,01508
N 198,I,,,,,,,see BWV 149/1a,01509
N 199,I,,,,,,,see BWV 1135,01510
N 200,I,c.1740,"chorale setting ""O Traurigkeit, o Herzeleid"" (unused sketch for Orgelbüchlein)",,Organ,,IV/1: 46,after Z 1915; in SBB P 283,01511
N 209,I,,,,,,,see BWV 1136,01520
N 210,I,1734-10-04,Cantata Wo sind meine Wunderwerke  (leave-taking of Johann Matthias Gesner),,,,,"text in 2° Poet. Germ. I, 6425: 4 Rara; /1 → BWV 193a/7, 193/3?",01521
N 211,I,,,,,,,see BWV 1145,01522
N 212,I,,,,,,,see BWV 1146,01523
N 213,I,,Concerto,F maj.,Org,,,by Telemann; arr. by Bach,01524
223,I,1717–1718?,Cantata Meine Seele soll Gott loben,B♭ maj.,,,I/34,by Handel?,00280
224,I,1732,"Aria ""Reißt euch los, bekränkte Sinnen"" (fragment)",,S,,I/41,"by Bach, C. P. E.?; in SBB P 491",00281
Anh. II,Works of doubtful authenticity,Works of doubtful authenticity,Works of doubtful authenticity,Works of doubtful authenticity,Works of doubtful authenticity,Works of doubtful authenticity,Works of doubtful authenticity,Works of doubtful authenticity,Up ↑
53,II,,"Aria ""Schlage doch, gewünschte Stunde"" (Funeral)",E maj.,a Bel Str Bc,122: 53,I/41,"by Hoffmann, M.?",00068
142,II,,Cantata Uns ist ein Kind geboren (Christmas),A min.,atbSATB 2Fl 2Ob Str Bc,30: 19,I/41,text by Neumeister (reworked),00174
189,II,,"Cantata Meine Seele rühmt und preist (German Magnificat, Visitation)",B♭ maj.,t Fl Ob Vl Bc,37: 213,I/41,"by Hoffmann, M.",00229
217,II,,"Cantata Gedenke, Herr, wie es uns gehet (Epiphany I)",,satbSATB Fl Str Bc,41: 207,I/41,by Altnickol?,00274
220,II,,Cantata Lobt ihn mit Herz und Munde (24 June: feast of John the Baptist),,atbSATB Fl 2Ob Str Bc,41: 259,I/41,,00277
221,II,,"Cantata Wer sucht die Pracht, wer wünscht den Glanz",,tb 2Vl Bas Vc Org,,I/41,in SBB P 191: 83–113,00278
III 159,II,,,,,,,see BWV 1164,01470
II 25,II,1740–1742 (JSB),Kyrie–Gloria Mass,C maj.,SATB 2Tr 2Vl Org,111: XVI,II/9,"by Bach, J. L.?",01333
239,II,1738–1741 (JSB),Sanctus,D min.,SATB Str Bc,111: 89,II/9,"after Caldara, Missa Providentiae/4",00298
II 28,II,,Sanctus,B♭ maj.,SATB 2Ob 2Cor Str Bc,111: XVII,II/9,,01336
II 29,II,c.1714–17,Kyrie–Gloria Mass (only cello part extant),C min.,,,II/9,in BKraków St 547,01337
III 167,II,1738–1739 (JSB),Kyrie–Gloria Mass for two choirs,G maj.,3SATB 3Ob Tai 2Vl 2Va 2Vne Bc Org,,II/9,"by Bernhard, Krieger or Pohle?; in SBB P 659",01478
II 30,II,1690s (Tor.) c.1742 (JSB),Magnificat for double choir,C maj.,2SATB 3Tr Tmp 2Vl 2Vla Bc,111: XV,II/9,"after Torri, Magnificat; Tr3, Tmp by Bach",01338
246,II,1732-04-11 (JSB),Passion St Luke Passion,,ssatbSATB 2Fl 2Ob Tai Bas Str Bc,452,II/9: 65,→ BWV 246/40a; in SBB P 1017,00311
II 31,II,,"chorale setting ""Herr Gott, dich loben alle wir""",,SATB 2Tr 3Ob Str Bc,,,in SBB P 101,01339
N 201,II,,"chorale setting ""Du Friedefürst, Herr Jesu Christ""",,SATB,,,"by Vetter, D.",01512
N 202,II,,"chorale setting ""Gott hat das Evangelium""",,SATB,,,"by Vetter, D.",01513
N 203,II,,"chorale setting ""Ich hebe meine Augen auf""",,SATB,,,"by Vetter, D.",01514
N 204,II,,"chorale setting ""O Traurigkeit, o Herzeleid""",,SATB,,,"by Vetter, D.",01515
II 32,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 1 ""Getrost mein Geist, wenn Wind und Wetter krachen""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01340
II 33,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 2 ""Mein Jesus, spare nicht""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01341
II 34,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 3 ""Kann ich mit einem Tone""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01342
II 35,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 4 ""Meine Seele lass die Flügel""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01343
II 36,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 5 ""Ich stimm' itzund ein Straff-Lied an""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01344
II 37,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 6 ""Der schwarze Flügel trüber Nacht""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01345
II 38,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 7 ""Das Finsterniß tritt ein""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01346
II 39,II,1704,"Sieben geistliche Oden und ein Gedicht  No. 8 ""Ach was wollt ihr trüben Sinnen""",,Voice Bc,,,in Deutsche Übersetzungen und Gedichte,01347
II 40,II,1736,"Song ""Ich bin nun wie ich bin"" ",,Voice Kb,,,in Singende Muse an der Pleiße ,01348
II 41,II,1736,"Song ""Dir zu Liebe, wertes Herze"" ",,Voice Kb,,,in Singende Muse an der Pleiße ,01349
571,II,c. 1704,"Fantasia, a.k.a. Concerto",G maj.,Organ,38: 67,IV/11: 35,,00651
580,II,,Fugue,D maj.,Organ,38: 215,,,00662
II 42,II,,Fugue ,F maj.,Organ,,,in SBB P 817: 1–3,01350
576,II,,Fugue,G maj.,Organ,38: 106,IV/11,,00658
577,II,,Fugue,G maj.,Organ,38: 111,IV/11: 44,,00659
581,II,,Fugue ,G maj.,Organ,,IV/11,by Homilius?,00663
131a,II,,Fugue,G min.,Organ,38: 217,IV/11: 3,after BWV 131/5,00161
534,II,,Prelude and Fugue,F min.,Organ,15: 104,IV/5: 130,"by Bach, W. F.?",00608
536a,II,c.1760–1789?,Prelude and Fugue,A maj.,Organ,,IV/6: 114,"after BWV 536, 152/1; arr. by Scholz?",00612
